(0,	 3,	 7)	None	None	None	None	None	None
(0,	 3,	 8)	None	None	None	None	None	None
(0,	 3,	 9)	None	None	None	None	None	None
(0,	 3,	 10)	None	None	None	None	None	None
(0,	 3,	 11)	None	None	None	None	None	None
(0,	 3,	 12)	None	None	None	None	None	None
(0,	 3,	 13)	None	None	None	None	None	None
(0,	 3,	 14)	None	None	None	None	None	None
(0,	 3,	 15)	None	None	None	None	None	None
(0,	 3,	 16)	None	None	None	None	None	None
(0,	 3,	 17)	None	None	None	None	None	None
Stack at (0, 4), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 4,	 0)	None	None	None	None	None	None
(0,	 4,	 1)	None	None	None	None	None	None
(0,	 4,	 2)	None	None	None	None	None	None
(0,	 4,	 3)	None	None	None	None	None	None
(0,	 4,	 4)	None	None	None	None	None	None
(0,	 4,	 5)	None	None	None	None	None	None
(0,	 4,	 6)	None	None	None	None	None	None
(0,	 4,	 7)	None	None	None	None	None	None
(0,	 4,	 8)	None	None	None	None	None	None
(0,	 4,	 9)	None	None	None	None	None	None
(0,	 4,	 10)	None	None	None	None	None	None
(0,	 4,	 11)	None	None	None	None	None	None
(0,	 4,	 12)	None	None	None	None	None	None
(0,	 4,	 13)	None	None	None	None	None	None
(0,	 4,	 14)	None	None	None	None	None	None
(0,	 4,	 15)	None	None	None	None	None	None
(0,	 4,	 16)	None	None	None	None	None	None
(0,	 4,	 17)	None	None	None	None	None	None
Stack at (0, 5), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 5,	 0)	None	None	None	None	None	None
(0,	 5,	 1)	None	None	None	None	None	None
(0,	 5,	 2)	None	None	None	None	None	None
(0,	 5,	 3)	None	None	None	None	None	None
(0,	 5,	 4)	None	None	None	None	None	None
(0,	 5,	 5)	None	None	None	None	None	None
(0,	 5,	 6)	None	None	None	None	None	None
(0,	 5,	 7)	None	None	None	None	None	None
(0,	 5,	 8)	None	None	None	None	None	None
(0,	 5,	 9)	None	None	None	None	None	None
(0,	 5,	 10)	None	None	None	None	None	None
(0,	 5,	 11)	None	None	None	None	None	None
(0,	 5,	 12)	None	None	None	None	None	None
(0,	 5,	 13)	None	None	None	None	None	None
(0,	 5,	 14)	None	None	None	None	None	None
(0,	 5,	 15)	None	None	None	None	None	None
(0,	 5,	 16)	None	None	None	None	None	None
(0,	 5,	 17)	None	None	None	None	None	None
Stack at (0, 6), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 6,	 0)	None	None	None	None	None	None
(0,	 6,	 1)	None	None	None	None	None	None
(0,	 6,	 2)	None	None	None	None	None	None
(0,	 6,	 3)	None	None	None	None	None	None
(0,	 6,	 4)	None	None	None	None	None	None
(0,	 6,	 5)	None	None	None	None	None	None
(0,	 6,	 6)	None	None	None	None	None	None
(0,	 6,	 7)	None	None	None	None	None	None
(0,	 6,	 8)	None	None	None	None	None	None
(0,	 6,	 9)	None	None	None	None	None	None
(0,	 6,	 10)	None	None	None	None	None	None
(0,	 6,	 11)	None	None	None	None	None	None
(0,	 6,	 12)	None	None	None	None	None	None
(0,	 6,	 13)	None	None	None	None	None	None
(0,	 6,	 14)	None	None	None	None	None	None
(0,	 6,	 15)	None	None	None	None	None	None
(0,	 6,	 16)	None	None	None	None	None	None
(0,	 6,	 17)	None	None	None	None	None	None
Stack at (0, 7), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 7,	 0)	None	None	None	None	None	None
(0,	 7,	 1)	None	None	None	None	None	None
(0,	 7,	 2)	None	None	None	None	None	None
(0,	 7,	 3)	None	None	None	None	None	None
(0,	 7,	 4)	None	None	None	None	None	None
(0,	 7,	 5)	None	None	None	None	None	None
(0,	 7,	 6)	None	None	None	None	None	None
(0,	 7,	 7)	None	None	None	None	None	None
(0,	 7,	 8)	None	None	None	None	None	None
(0,	 7,	 9)	None	None	None	None	None	None
(0,	 7,	 10)	None	None	None	None	None	None
(0,	 7,	 11)	None	None	None	None	None	None
(0,	 7,	 12)	None	None	None	None	None	None
(0,	 7,	 13)	None	None	None	None	None	None
(0,	 7,	 14)	None	None	None	None	None	None
(0,	 7,	 15)	None	None	None	None	None	None
(0,	 7,	 16)	None	None	None	None	None	None
(0,	 7,	 17)	None	None	None	None	None	None
Stack at (0, 8), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 8,	 0)	None	None	None	None	None	None
(0,	 8,	 1)	None	None	None	None	None	None
(0,	 8,	 2)	None	None	None	None	None	None
(0,	 8,	 3)	None	None	None	None	None	None
(0,	 8,	 4)	None	None	None	None	None	None
(0,	 8,	 5)	None	None	None	None	None	None
(0,	 8,	 6)	None	None	None	None	None	None
(0,	 8,	 7)	None	None	None	None	None	None
(0,	 8,	 8)	None	None	None	None	None	None
(0,	 8,	 9)	None	None	None	None	None	None
(0,	 8,	 10)	None	None	None	None	None	None
(0,	 8,	 11)	None	None	None	None	None	None
(0,	 8,	 12)	None	None	None	None	None	None
(0,	 8,	 13)	None	None	None	None	None	None
(0,	 8,	 14)	None	None	None	None	None	None
(0,	 8,	 15)	None	None	None	None	None	None
(0,	 8,	 16)	None	None	None	None	None	None
(0,	 8,	 17)	None	None	None	None	None	None
Stack at (0, 9), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 9,	 0)	None	None	None	None	None	None
(0,	 9,	 1)	None	None	None	None	None	None
(0,	 9,	 2)	None	None	None	None	None	None
(0,	 9,	 3)	None	None	None	None	None	None
(0,	 9,	 4)	None	None	None	None	None	None
(0,	 9,	 5)	None	None	None	None	None	None
(0,	 9,	 6)	None	None	None	None	None	None
(0,	 9,	 7)	None	None	None	None	None	None
(0,	 9,	 8)	None	None	None	None	None	None
(0,	 9,	 9)	None	None	None	None	None	None
(0,	 9,	 10)	None	None	None	None	None	None
(0,	 9,	 11)	None	None	None	None	None	None
(0,	 9,	 12)	None	None	None	None	None	None
(0,	 9,	 13)	None	None	None	None	None	None
(0,	 9,	 14)	None	None	None	None	None	None
(0,	 9,	 15)	None	None	None	None	None	None
(0,	 9,	 16)	None	None	None	None	None	None
(0,	 9,	 17)	None	None	None	None	None	None
Stack at (0, 10), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 10,	 0)	None	None	None	None	None	None
(0,	 10,	 1)	None	None	None	None	None	None
(0,	 10,	 2)	None	None	None	None	None	None
(0,	 10,	 3)	None	None	None	None	None	None
(0,	 10,	 4)	None	None	None	None	None	None
(0,	 10,	 5)	None	None	None	None	None	None
(0,	 10,	 6)	None	None	None	None	None	None
(0,	 10,	 7)	None	None	None	None	None	None
(0,	 10,	 8)	None	None	None	None	None	None
(0,	 10,	 9)	None	None	None	None	None	None
(0,	 10,	 10)	None	None	None	None	None	None
(0,	 10,	 11)	None	None	None	None	None	None
(0,	 10,	 12)	None	None	None	None	None	None
(0,	 10,	 13)	None	None	None	None	None	None
(0,	 10,	 14)	None	None	None	None	None	None
(0,	 10,	 15)	None	None	None	None	None	None
(0,	 10,	 16)	None	None	None	None	None	None
(0,	 10,	 17)	None	None	None	None	None	None
Stack at (1, 0), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 0,	 0)	None	None	None	None	None	None
(1,	 0,	 1)	None	None	None	None	None	None
(1,	 0,	 2)	None	None	None	None	None	None
(1,	 0,	 3)	None	None	None	None	None	None
(1,	 0,	 4)	None	None	None	None	None	None
(1,	 0,	 5)	None	None	None	None	None	None
(1,	 0,	 6)	None	None	None	None	None	None
(1,	 0,	 7)	None	None	None	None	None	None
(1,	 0,	 8)	None	None	None	None	None	None
(1,	 0,	 9)	None	None	None	None	None	None
(1,	 0,	 10)	None	None	None	None	None	None
(1,	 0,	 11)	None	None	None	None	None	None
(1,	 0,	 12)	None	None	None	None	None	None
(1,	 0,	 13)	None	None	None	None	None	None
(1,	 0,	 14)	None	None	None	None	None	None
(1,	 0,	 15)	None	None	None	None	None	None
(1,	 0,	 16)	None	None	None	None	None	None
(1,	 0,	 17)	None	None	None	None	None	None
Stack at (1, 1), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 1,	 0)	None	None	None	None	None	None
(1,	 1,	 1)	None	None	None	None	None	None
(1,	 1,	 2)	None	None	None	None	None	None
(1,	 1,	 3)	None	None	None	None	None	None
(1,	 1,	 4)	None	None	None	None	None	None
(1,	 1,	 5)	None	None	None	None	None	None
(1,	 1,	 6)	None	None	None	None	None	None
(1,	 1,	 7)	None	None	None	None	None	None
(1,	 1,	 8)	None	None	None	None	None	None
(1,	 1,	 9)	None	None	None	None	None	None
(1,	 1,	 10)	None	None	None	None	None	None
(1,	 1,	 11)	None	None	None	None	None	None
(1,	 1,	 12)	None	None	None	None	None	None
(1,	 1,	 13)	None	None	None	None	None	None
(1,	 1,	 14)	None	None	None	None	None	None
(1,	 1,	 15)	None	None	None	None	None	None
(1,	 1,	 16)	None	None	None	None	None	None
(1,	 1,	 17)	None	None	None	None	None	None
Stack at (1, 2), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 2,	 0)	None	None	None	None	None	None
(1,	 2,	 1)	None	None	None	None	None	None
(1,	 2,	 2)	None	None	None	None	None	None
(1,	 2,	 3)	None	None	None	None	None	None
(1,	 2,	 4)	None	None	None	None	None	None
(1,	 2,	 5)	None	None	None	None	None	None
(1,	 2,	 6)	None	None	None	None	None	None
(1,	 2,	 7)	None	None	None	None	None	None
(1,	 2,	 8)	None	None	None	None	None	None
(1,	 2,	 9)	None	None	None	None	None	None
(1,	 2,	 10)	None	None	None	None	None	None
(1,	 2,	 11)	None	None	None	None	None	None
(1,	 2,	 12)	None	None	None	None	None	None
(1,	 2,	 13)	None	None	None	None	None	None
(1,	 2,	 14)	None	None	None	None	None	None
(1,	 2,	 15)	None	None	None	None	None	None
(1,	 2,	 16)	None	None	None	None	None	None
(1,	 2,	 17)	None	None	None	None	None	None
Stack at (1, 3), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 3,	 0)	None	None	None	None	None	None
(1,	 3,	 1)	None	None	None	None	None	None
(1,	 3,	 2)	None	None	None	None	None	None
(1,	 3,	 3)	None	None	None	None	None	None
(1,	 3,	 4)	None	None	None	None	None	None
(1,	 3,	 5)	None	None	None	None	None	None
(1,	 3,	 6)	None	None	None	None	None	None
(1,	 3,	 7)	None	None	None	None	None	None
(1,	 3,	 8)	None	None	None	None	None	None
(1,	 3,	 9)	None	None	None	None	None	None
(1,	 3,	 10)	None	None	None	None	None	None
(1,	 3,	 11)	None	None	None	None	None	None
(1,	 3,	 12)	None	None	None	None	None	None
(1,	 3,	 13)	None	None	None	None	None	None
(1,	 3,	 14)	None	None	None	None	None	None
(1,	 3,	 15)	None	None	None	None	None	None
(1,	 3,	 16)	None	None	None	None	None	None
(1,	 3,	 17)	None	None	None	None	None	None
Stack at (1, 4), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 4,	 0)	None	None	None	None	None	None
(1,	 4,	 1)	None	None	None	None	None	None
(1,	 4,	 2)	None	None	None	None	None	None
(1,	 4,	 3)	None	None	None	None	None	None
(1,	 4,	 4)	None	None	None	None	None	None
(1,	 4,	 5)	None	None	None	None	None	None
(1,	 4,	 6)	None	None	None	None	None	None
(1,	 4,	 7)	None	None	None	None	None	None
(1,	 4,	 8)	None	None	None	None	None	None
(1,	 4,	 9)	None	None	None	None	None	None
(1,	 4,	 10)	None	None	None	None	None	None
(1,	 4,	 11)	None	None	None	None	None	None
(1,	 4,	 12)	None	None	None	None	None	None
(1,	 4,	 13)	None	None	None	None	None	None
(1,	 4,	 14)	None	None	None	None	None	None
(1,	 4,	 15)	None	None	None	None	None	None
(1,	 4,	 16)	None	None	None	None	None	None
(1,	 4,	 17)	None	None	None	None	None	None
Stack at (1, 5), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 5,	 0)	None	None	None	None	None	None
(1,	 5,	 1)	None	None	None	None	None	None
(1,	 5,	 2)	None	None	None	None	None	None
(1,	 5,	 3)	None	None	None	None	None	None
(1,	 5,	 4)	None	None	None	None	None	None
(1,	 5,	 5)	None	None	None	None	None	None
(1,	 5,	 6)	None	None	None	None	None	None
(1,	 5,	 7)	None	None	None	None	None	None
(1,	 5,	 8)	None	None	None	None	None	None
(1,	 5,	 9)	None	None	None	None	None	None
(1,	 5,	 10)	None	None	None	None	None	None
(1,	 5,	 11)	None	None	None	None	None	None
(1,	 5,	 12)	None	None	None	None	None	None
(1,	 5,	 13)	None	None	None	None	None	None
(1,	 5,	 14)	None	None	None	None	None	None
(1,	 5,	 15)	None	None	None	None	None	None
(1,	 5,	 16)	None	None	None	None	None	None
(1,	 5,	 17)	None	None	None	None	None	None
Stack at (1, 6), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 6,	 0)	None	None	None	None	None	None
(1,	 6,	 1)	None	None	None	None	None	None
(1,	 6,	 2)	None	None	None	None	None	None
(1,	 6,	 3)	None	None	None	None	None	None
(1,	 6,	 4)	None	None	None	None	None	None
(1,	 6,	 5)	None	None	None	None	None	None
(1,	 6,	 6)	None	None	None	None	None	None
(1,	 6,	 7)	None	None	None	None	None	None
(1,	 6,	 8)	None	None	None	None	None	None
(1,	 6,	 9)	None	None	None	None	None	None
(1,	 6,	 10)	None	None	None	None	None	None
(1,	 6,	 11)	None	None	None	None	None	None
(1,	 6,	 12)	None	None	None	None	None	None
(1,	 6,	 13)	None	None	None	None	None	None
(1,	 6,	 14)	None	None	None	None	None	None
(1,	 6,	 15)	None	None	None	None	None	None
(1,	 6,	 16)	None	None	None	None	None	None
(1,	 6,	 17)	None	None	None	None	None	None
Stack at (1, 7), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 7,	 0)	None	None	None	None	None	None
(1,	 7,	 1)	None	None	None	None	None	None
(1,	 7,	 2)	None	None	None	None	None	None
(1,	 7,	 3)	None	None	None	None	None	None
(1,	 7,	 4)	None	None	None	None	None	None
(1,	 7,	 5)	None	None	None	None	None	None
(1,	 7,	 6)	None	None	None	None	None	None
(1,	 7,	 7)	None	None	None	None	None	None
(1,	 7,	 8)	None	None	None	None	None	None
(1,	 7,	 9)	None	None	None	None	None	None
(1,	 7,	 10)	None	None	None	None	None	None
(1,	 7,	 11)	None	None	None	None	None	None
(1,	 7,	 12)	None	None	None	None	None	None
(1,	 7,	 13)	None	None	None	None	None	None
(1,	 7,	 14)	None	None	None	None	None	None
(1,	 7,	 15)	None	None	None	None	None	None
(1,	 7,	 16)	None	None	None	None	None	None
(1,	 7,	 17)	None	None	None	None	None	None
Stack at (1, 8), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 8,	 0)	None	None	None	None	None	None
(1,	 8,	 1)	None	None	None	None	None	None
(1,	 8,	 2)	None	None	None	None	None	None
(1,	 8,	 3)	None	None	None	None	None	None
(1,	 8,	 4)	None	None	None	None	None	None
(1,	 8,	 5)	None	None	None	None	None	None
(1,	 8,	 6)	None	None	None	None	None	None
(1,	 8,	 7)	None	None	None	None	None	None
(1,	 8,	 8)	None	None	None	None	None	None
(1,	 8,	 9)	None	None	None	None	None	None
(1,	 8,	 10)	None	None	None	None	None	None
(1,	 8,	 11)	None	None	None	None	None	None
(1,	 8,	 12)	None	None	None	None	None	None
(1,	 8,	 13)	None	None	None	None	None	None
(1,	 8,	 14)	None	None	None	None	None	None
(1,	 8,	 15)	None	None	None	None	None	None
(1,	 8,	 16)	None	None	None	None	None	None
(1,	 8,	 17)	None	None	None	None	None	None
Stack at (1, 9), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 9,	 0)	None	None	None	None	None	None
(1,	 9,	 1)	None	None	None	None	None	None
(1,	 9,	 2)	None	None	None	None	None	None
(1,	 9,	 3)	None	None	None	None	None	None
(1,	 9,	 4)	None	None	None	None	None	None
(1,	 9,	 5)	None	None	None	None	None	None
(1,	 9,	 6)	None	None	None	None	None	None
(1,	 9,	 7)	None	None	None	None	None	None
(1,	 9,	 8)	None	None	None	None	None	None
(1,	 9,	 9)	None	None	None	None	None	None
(1,	 9,	 10)	None	None	None	None	None	None
(1,	 9,	 11)	None	None	None	None	None	None
(1,	 9,	 12)	None	None	None	None	None	None
(1,	 9,	 13)	None	None	None	None	None	None
(1,	 9,	 14)	None	None	None	None	None	None
(1,	 9,	 15)	None	None	None	None	None	None
(1,	 9,	 16)	None	None	None	None	None	None
(1,	 9,	 17)	None	None	None	None	None	None
Stack at (1, 10), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 10,	 0)	None	None	None	None	None	None
(1,	 10,	 1)	None	None	None	None	None	None
(1,	 10,	 2)	None	None	None	None	None	None
(1,	 10,	 3)	None	None	None	None	None	None
(1,	 10,	 4)	None	None	None	None	None	None
(1,	 10,	 5)	None	None	None	None	None	None
(1,	 10,	 6)	None	None	None	None	None	None
(1,	 10,	 7)	None	None	None	None	None	None
(1,	 10,	 8)	None	None	None	None	None	None
(1,	 10,	 9)	None	None	None	None	None	None
(1,	 10,	 10)	None	None	None	None	None	None
(1,	 10,	 11)	None	None	None	None	None	None
(1,	 10,	 12)	None	None	None	None	None	None
(1,	 10,	 13)	None	None	None	None	None	None
(1,	 10,	 14)	None	None	None	None	None	None
(1,	 10,	 15)	None	None	None	None	None	None
(1,	 10,	 16)	None	None	None	None	None	None
(1,	 10,	 17)	None	None	None	None	None	None
Stack at (2, 0), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 0,	 0)	None	None	None	None	None	None
(2,	 0,	 1)	None	None	None	None	None	None
(2,	 0,	 2)	None	None	None	None	None	None
(2,	 0,	 3)	None	None	None	None	None	None
(2,	 0,	 4)	None	None	None	None	None	None
(2,	 0,	 5)	None	None	None	None	None	None
(2,	 0,	 6)	None	None	None	None	None	None
(2,	 0,	 7)	None	None	None	None	None	None
(2,	 0,	 8)	None	None	None	None	None	None
(2,	 0,	 9)	None	None	None	None	None	None
(2,	 0,	 10)	None	None	None	None	None	None
(2,	 0,	 11)	None	None	None	None	None	None
(2,	 0,	 12)	None	None	None	None	None	None
(2,	 0,	 13)	None	None	None	None	None	None
(2,	 0,	 14)	None	None	None	None	None	None
(2,	 0,	 15)	None	None	None	None	None	None
(2,	 0,	 16)	None	None	None	None	None	None
(2,	 0,	 17)	None	None	None	None	None	None
Stack at (2, 1), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 1,	 0)	None	None	None	None	None	None
(2,	 1,	 1)	None	None	None	None	None	None
(2,	 1,	 2)	None	None	None	None	None	None
(2,	 1,	 3)	None	None	None	None	None	None
(2,	 1,	 4)	None	None	None	None	None	None
(2,	 1,	 5)	None	None	None	None	None	None
(2,	 1,	 6)	None	None	None	None	None	None
(2,	 1,	 7)	None	None	None	None	None	None
(2,	 1,	 8)	None	None	None	None	None	None
(2,	 1,	 9)	None	None	None	None	None	None
(2,	 1,	 10)	None	None	None	None	None	None
(2,	 1,	 11)	None	None	None	None	None	None
(2,	 1,	 12)	None	None	None	None	None	None
(2,	 1,	 13)	None	None	None	None	None	None
(2,	 1,	 14)	None	None	None	None	None	None
(2,	 1,	 15)	None	None	None	None	None	None
(2,	 1,	 16)	None	None	None	None	None	None
(2,	 1,	 17)	None	None	None	None	None	None
Stack at (2, 2), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 2,	 0)	None	None	None	None	None	None
(2,	 2,	 1)	None	None	None	None	None	None
(2,	 2,	 2)	None	None	None	None	None	None
(2,	 2,	 3)	None	None	None	None	None	None
(2,	 2,	 4)	None	None	None	None	None	None
(2,	 2,	 5)	None	None	None	None	None	None
(2,	 2,	 6)	None	None	None	None	None	None
(2,	 2,	 7)	None	None	None	None	None	None
(2,	 2,	 8)	None	None	None	None	None	None
(2,	 2,	 9)	None	None	None	None	None	None
(2,	 2,	 10)	None	None	None	None	None	None
(2,	 2,	 11)	None	None	None	None	None	None
(2,	 2,	 12)	None	None	None	None	None	None
(2,	 2,	 13)	None	None	None	None	None	None
(2,	 2,	 14)	None	None	None	None	None	None
(2,	 2,	 15)	None	None	None	None	None	None
(2,	 2,	 16)	None	None	None	None	None	None
(2,	 2,	 17)	None	None	None	None	None	None
Stack at (2, 3), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 3,	 0)	None	None	None	None	None	None
(2,	 3,	 1)	None	None	None	None	None	None
(2,	 3,	 2)	None	None	None	None	None	None
(2,	 3,	 3)	None	None	None	None	None	None
(2,	 3,	 4)	None	None	None	None	None	None
(2,	 3,	 5)	None	None	None	None	None	None
(2,	 3,	 6)	None	None	None	None	None	None
(2,	 3,	 7)	None	None	None	None	None	None
(2,	 3,	 8)	None	None	None	None	None	None
(2,	 3,	 9)	None	None	None	None	None	None
(2,	 3,	 10)	None	None	None	None	None	None
(2,	 3,	 11)	None	None	None	None	None	None
(2,	 3,	 12)	None	None	None	None	None	None
(2,	 3,	 13)	None	None	None	None	None	None
(2,	 3,	 14)	None	None	None	None	None	None
(2,	 3,	 15)	None	None	None	None	None	None
(2,	 3,	 16)	None	None	None	None	None	None
(2,	 3,	 17)	None	None	None	None	None	None
Stack at (2, 4), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 4,	 0)	None	None	None	None	None	None
(2,	 4,	 1)	None	None	None	None	None	None
(2,	 4,	 2)	None	None	None	None	None	None
(2,	 4,	 3)	None	None	None	None	None	None
(2,	 4,	 4)	None	None	None	None	None	None
(2,	 4,	 5)	None	None	None	None	None	None
(2,	 4,	 6)	None	None	None	None	None	None
(2,	 4,	 7)	None	None	None	None	None	None
(2,	 4,	 8)	None	None	None	None	None	None
(2,	 4,	 9)	None	None	None	None	None	None
(2,	 4,	 10)	None	None	None	None	None	None
(2,	 4,	 11)	None	None	None	None	None	None
(2,	 4,	 12)	None	None	None	None	None	None
(2,	 4,	 13)	None	None	None	None	None	None
(2,	 4,	 14)	None	None	None	None	None	None
(2,	 4,	 15)	None	None	None	None	None	None
(2,	 4,	 16)	None	None	None	None	None	None
(2,	 4,	 17)	None	None	None	None	None	None
Stack at (2, 5), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 5,	 0)	None	None	None	None	None	None
(2,	 5,	 1)	None	None	None	None	None	None
(2,	 5,	 2)	None	None	None	None	None	None
(2,	 5,	 3)	None	None	None	None	None	None
(2,	 5,	 4)	None	None	None	None	None	None
(2,	 5,	 5)	None	None	None	None	None	None
(2,	 5,	 6)	None	None	None	None	None	None
(2,	 5,	 7)	None	None	None	None	None	None
(2,	 5,	 8)	None	None	None	None	None	None
(2,	 5,	 9)	None	None	None	None	None	None
(2,	 5,	 10)	None	None	None	None	None	None
(2,	 5,	 11)	None	None	None	None	None	None
(2,	 5,	 12)	None	None	None	None	None	None
(2,	 5,	 13)	None	None	None	None	None	None
(2,	 5,	 14)	None	None	None	None	None	None
(2,	 5,	 15)	None	None	None	None	None	None
(2,	 5,	 16)	None	None	None	None	None	None
(2,	 5,	 17)	None	None	None	None	None	None
Stack at (2, 6), in section: 0
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 6,	 0)	None	None	None	None	None	None
(2,	 6,	 1)	None	None	None	None	None	None
(2,	 6,	 2)	None	None	None	None	None	None
(2,	 6,	 3)	None	None	None	None	None	None
(2,	 6,	 4)	None	None	None	None	None	None
(2,	 6,	 5)	None	None	None	None	None	None
(2,	 6,	 6)	None	None	None	None	None	None
(2,	 6,	 7)	None	None	None	None	None	None
(2,	 6,	 8)	None	None	None	None	None	None
(2,	 6,	 9)	None	None	None	None	None	None
(2,	 6,	 10)	None	None	None	None	None	None
(2,	 6,	 11)	None	None	None	None	None	None
(2,	 6,	 12)	None	None	None	None	None	None
(2,	 6,	 13)	None	None	None	None	None	None
