This file contains information about the containers on an already loaded ship.
The sorting is already done when loading the containers.
Ship dimensions (length, width, height): 
24	22	18
Dimensions for each section (length, width, max_height): 
4	11	18
--------------------
Section 3
This section has no holding container
--------------------
Stack at (0, 0), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 2,	 2)	2987	20	2	15	17	20
(0,	 2,	 3)	1490	20	2	16	18	20
(0,	 2,	 3)	1491	20	2	16	18	20
(0,	 2,	 4)	2207	20	2	8	10	20
(0,	 2,	 4)	2221	20	2	18	20	20
(0,	 2,	 5)	4012	20	2	14	16	20
(0,	 2,	 5)	4013	20	2	12	14	20
(0,	 2,	 6)	5654	20	2	18	20	20
(0,	 2,	 6)	5659	20	2	6	8	20
(0,	 2,	 7)	6186	20	2	7	9	20
(0,	 2,	 7)	6197	20	2	17	19	20
(0,	 2,	 8)	6101	40	4	21	25	22
(0,	 2,	 9)	6248	20	2	12	14	20
(0,	 2,	 9)	6249	20	2	9	11	20
(0,	 2,	 10)	6258	40	4	19	23	22
(0,	 2,	 11)	0021	20	2	13	15	20
(0,	 2,	 11)	0022	20	2	5	7	20
(0,	 2,	 12)	3741	40	4	11	15	22
(0,	 2,	 13)	5438	40	4	9	13	22
(0,	 2,	 14)	6010	20	2	4	6	20
(0,	 2,	 14)	6011	20	2	4	6	20
(0,	 2,	 15)	2749	40	4	7	11	22
(0,	 2,	 16)	6231	20	2	3	5	20
(0,	 2,	 16)	6247	20	2	0	2	20
(0,	 2,	 17)	1422	40	4	2	6	22
Stack at (0, 3), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 3,	 0)	0030	20	2	15	17	20
(0,	 3,	 0)	0031	20	2	12	14	20
(0,	 3,	 1)	4225	20	2	13	15	20
(0,	 3,	 1)	4226	20	2	14	16	20
(0,	 3,	 2)	3630	20	2	5	7	20
(0,	 3,	 2)	3647	20	2	17	19	20
(0,	 3,	 3)	1176	20	2	7	9	20
(0,	 3,	 3)	1177	20	2	14	16	20
(0,	 3,	 4)	4832	40	4	20	24	22
(0,	 3,	 5)	6015	20	2	6	8	20
(0,	 3,	 5)	6016	20	2	14	16	20
(0,	 3,	 6)	1982	20	2	14	16	20
(0,	 3,	 6)	1983	20	2	4	6	20
(0,	 3,	 7)	3047	20	2	4	6	20
(0,	 3,	 7)	3053	20	2	12	14	20
(0,	 3,	 8)	0802	20	2	2	4	20
(0,	 3,	 8)	0803	20	2	13	15	20
(0,	 3,	 9)	2417	40	4	15	19	22
(0,	 3,	 10)	1629	40	4	13	17	22
(0,	 3,	 11)	5349	40	4	13	17	22
(0,	 3,	 12)	5852	20	2	2	4	20
(0,	 3,	 12)	5869	20	2	11	13	20
(0,	 3,	 13)	2753	20	2	1	3	20
(0,	 3,	 13)	2754	20	2	10	12	20
(0,	 3,	 14)	3472	20	2	5	7	20
(0,	 3,	 14)	3473	20	2	0	2	20
(0,	 3,	 15)	5629	40	4	5	9	22
(0,	 3,	 16)	4132	40	4	1	5	22
(0,	 3,	 17)	5774	40	4	1	5	22
Stack at (0, 4), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 4,	 0)	2126	20	2	20	22	20
(0,	 4,	 0)	2148	20	2	20	22	20
(0,	 4,	 1)	0044	20	2	17	19	20
(0,	 4,	 1)	0045	20	2	12	14	20
(0,	 4,	 2)	3009	20	2	19	21	20
(0,	 4,	 2)	3018	20	2	4	6	20
(0,	 4,	 3)	3533	40	4	22	26	22
(0,	 4,	 4)	1654	20	2	9	11	20
(0,	 4,	 4)	1666	20	2	12	14	20
(0,	 4,	 5)	5072	20	2	11	13	20
(0,	 4,	 5)	5073	20	2	10	12	20
(0,	 4,	 6)	4601	40	4	20	24	22
(0,	 4,	 7)	1239	40	4	18	22	22
(0,	 4,	 8)	6187	40	4	18	22	22
(0,	 4,	 9)	0849	40	4	17	21	22
(0,	 4,	 10)	5888	40	4	15	19	22
(0,	 4,	 11)	4028	20	2	11	13	20
(0,	 4,	 11)	4032	20	2	3	5	20
(0,	 4,	 12)	6040	40	4	11	15	22
(0,	 4,	 13)	6152	40	4	10	14	22
(0,	 4,	 14)	5727	40	4	7	11	22
(0,	 4,	 15)	4353	40	4	6	10	22
(0,	 4,	 16)	5533	20	2	6	8	20
(0,	 4,	 16)	5534	20	2	0	2	20
(0,	 4,	 17)	6232	40	4	6	10	22
Stack at (0, 5), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 5,	 0)	4860	20	2	12	14	20
(0,	 5,	 0)	4861	20	2	16	18	20
(0,	 5,	 1)	0559	40	4	22	26	22
(0,	 5,	 2)	2049	40	4	22	26	22
(0,	 5,	 3)	1022	40	4	20	24	22
(0,	 5,	 4)	4300	20	2	6	8	20
(0,	 5,	 4)	4321	20	2	13	15	20
(0,	 5,	 5)	2547	40	4	17	21	22
(0,	 5,	 6)	2945	40	4	17	21	22
(0,	 5,	 7)	3492	40	4	14	18	22
(0,	 5,	 8)	0056	40	4	13	17	22
(0,	 5,	 9)	1724	40	4	11	15	22
(0,	 5,	 10)	3906	20	2	3	5	20
(0,	 5,	 10)	3923	20	2	7	9	20
(0,	 5,	 11)	1504	40	4	9	13	22
(0,	 5,	 12)	5602	40	4	6	10	22
(0,	 5,	 13)	3400	40	4	3	7	22
(0,	 5,	 14)	4789	20	2	1	3	20
(0,	 5,	 14)	4790	20	2	1	3	20
(0,	 5,	 15)	5519	40	4	2	6	22
(0,	 5,	 16)	3850	40	4	1	5	22
(0,	 5,	 17)	4212	40	4	1	5	22
Stack at (0, 6), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 6,	 0)	4848	40	4	20	24	22
(0,	 6,	 1)	0892	40	4	19	23	22
(0,	 6,	 2)	1700	40	4	19	23	22
(0,	 6,	 3)	3829	40	4	18	22	22
(0,	 6,	 4)	0063	20	2	2	4	20
(0,	 6,	 4)	0064	20	2	14	16	20
(0,	 6,	 5)	3175	40	4	16	20	22
(0,	 6,	 6)	1397	40	4	15	19	22
(0,	 6,	 7)	4240	40	4	14	18	22
(0,	 6,	 8)	5445	20	2	9	11	20
(0,	 6,	 8)	5446	20	2	5	7	20
(0,	 6,	 9)	2577	20	2	1	3	20
(0,	 6,	 9)	2590	20	2	11	13	20
(0,	 6,	 10)	2887	40	4	10	14	22
(0,	 6,	 11)	4609	40	4	10	14	22
(0,	 6,	 12)	3605	40	4	9	13	22
(0,	 6,	 13)	2348	40	4	7	11	22
(0,	 6,	 14)	2172	40	4	6	10	22
(0,	 6,	 15)	0739	40	4	5	9	22
(0,	 6,	 16)	0600	40	4	4	8	22
(0,	 6,	 17)	5362	40	4	1	5	22
Stack at (0, 7), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 7,	 0)	0909	20	2	14	16	20
(0,	 7,	 0)	0935	20	2	19	21	20
(0,	 7,	 1)	2705	20	2	7	9	20
(0,	 7,	 1)	2706	20	2	18	20	20
(0,	 7,	 2)	3286	40	4	22	26	22
(0,	 7,	 3)	5877	20	2	10	12	20
(0,	 7,	 3)	5881	20	2	12	14	20
(0,	 7,	 4)	4491	40	4	21	25	22
(0,	 7,	 5)	1814	40	4	20	24	22
(0,	 7,	 6)	5129	40	4	19	23	22
(0,	 7,	 7)	2269	40	4	18	22	22
(0,	 7,	 8)	0580	40	4	16	20	22
(0,	 7,	 9)	0074	40	4	15	19	22
(0,	 7,	 10)	6083	20	2	10	12	20
(0,	 7,	 10)	6084	20	2	5	7	20
(0,	 7,	 11)	4248	40	4	9	13	22
(0,	 7,	 12)	3987	40	4	8	12	22
(0,	 7,	 13)	3809	40	4	7	11	22
(0,	 7,	 14)	5734	40	4	6	10	22
(0,	 7,	 15)	5555	40	4	5	9	22
(0,	 7,	 16)	1674	40	4	4	8	22
(0,	 7,	 17)	4983	40	4	3	7	22
Stack at (0, 8), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 8,	 0)	5092	20	2	18	20	20
(0,	 8,	 0)	5093	20	2	11	13	20
(0,	 8,	 1)	0425	20	2	9	11	20
(0,	 8,	 1)	0426	20	2	13	15	20
(0,	 8,	 2)	5670	20	2	6	8	20
(0,	 8,	 2)	5687	20	2	15	17	20
(0,	 8,	 3)	1913	40	4	20	24	22
(0,	 8,	 4)	3692	40	4	20	24	22
(0,	 8,	 5)	1196	40	4	18	22	22
(0,	 8,	 6)	3174	20	2	3	5	20
(0,	 8,	 6)	3222	20	2	15	17	20
(0,	 8,	 7)	2354	40	4	15	19	22
(0,	 8,	 8)	4695	20	2	9	11	20
(0,	 8,	 8)	4696	20	2	6	8	20
(0,	 8,	 9)	4291	40	4	14	18	22
(0,	 8,	 10)	0866	40	4	13	17	22
(0,	 8,	 11)	1586	40	4	11	15	22
(0,	 8,	 12)	2856	40	4	6	10	22
(0,	 8,	 13)	3048	40	4	6	10	22
(0,	 8,	 14)	0084	40	4	4	8	22
(0,	 8,	 15)	4137	40	4	3	7	22
(0,	 8,	 16)	2721	40	4	2	6	22
(0,	 8,	 17)	4645	40	4	0	4	22
Stack at (0, 9), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 9,	 0)	0536	20	2	17	19	20
(0,	 9,	 0)	0537	20	2	17	19	20
(0,	 9,	 1)	3431	20	2	16	18	20
(0,	 9,	 1)	3432	20	2	13	15	20
(0,	 9,	 2)	1592	40	4	22	26	22
(0,	 9,	 3)	5842	40	4	22	26	22
(0,	 9,	 4)	2656	40	4	21	25	22
(0,	 9,	 5)	4276	20	2	1	3	20
(0,	 9,	 5)	4277	20	2	20	22	20
(0,	 9,	 6)	2109	20	2	11	13	20
(0,	 9,	 6)	2110	20	2	7	9	20
(0,	 9,	 7)	5106	40	4	17	21	22
(0,	 9,	 8)	4762	40	4	13	17	22
(0,	 9,	 9)	0083	20	2	0	2	20
(0,	 9,	 9)	0090	20	2	12	14	20
(0,	 9,	 10)	1252	20	2	8	10	20
(0,	 9,	 10)	1253	20	2	2	4	20
(0,	 9,	 11)	5606	40	4	9	13	22
(0,	 9,	 12)	4086	40	4	6	10	22
(0,	 9,	 13)	3231	20	2	4	6	20
(0,	 9,	 13)	3232	20	2	1	3	20
(0,	 9,	 14)	2555	40	4	3	7	22
(0,	 9,	 15)	5498	40	4	3	7	22
(0,	 9,	 16)	1529	40	4	1	5	22
(0,	 9,	 17)	3182	40	4	0	4	22
Stack at (0, 10), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 10,	 0)	5773	20	2	20	22	20
(0,	 10,	 0)	5779	20	2	16	18	20
(0,	 10,	 1)	2680	20	2	12	14	20
(0,	 10,	 1)	2681	20	2	12	14	20
(0,	 10,	 2)	1372	40	4	21	25	22
(0,	 10,	 3)	3764	40	4	20	24	22
(0,	 10,	 4)	0399	40	4	19	23	22
(0,	 10,	 5)	1822	40	4	19	23	22
(0,	 10,	 6)	2238	20	2	18	20	20
(0,	 10,	 6)	2250	20	2	0	2	20
(0,	 10,	 7)	3237	40	4	18	22	22
(0,	 10,	 8)	4357	40	4	17	21	22
(0,	 10,	 9)	0947	40	4	16	20	22
(0,	 10,	 10)	5148	20	2	11	13	20
(0,	 10,	 10)	5158	20	2	3	5	20
(0,	 10,	 11)	4805	20	2	9	11	20
(0,	 10,	 11)	4815	20	2	4	6	20
(0,	 10,	 12)	5497	20	2	6	8	20
(0,	 10,	 12)	5501	20	2	7	9	20
(0,	 10,	 13)	0754	20	2	2	4	20
(0,	 10,	 13)	0755	20	2	4	6	20
(0,	 10,	 14)	4214	40	4	5	9	22
(0,	 10,	 15)	0095	40	4	2	6	22
(0,	 10,	 16)	3702	40	4	0	4	22
(0,	 10,	 17)	6151	40	4	0	4	22
Stack at (1, 0), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 0,	 0)	5898	20	2	20	22	20
(1,	 0,	 0)	5926	20	2	7	9	20
(1,	 0,	 1)	0703	20	2	16	18	20
(1,	 0,	 1)	0704	20	2	8	10	20
(1,	 0,	 2)	2537	20	2	4	6	20
(1,	 0,	 2)	2538	20	2	16	18	20
(1,	 0,	 3)	3776	40	4	19	23	22
(1,	 0,	 4)	5188	40	4	18	22	22
(1,	 0,	 5)	5559	40	4	18	22	22
(1,	 0,	 6)	3001	40	4	17	21	22
(1,	 0,	 7)	4172	20	2	15	17	20
(1,	 0,	 7)	4184	20	2	1	3	20
(1,	 0,	 8)	2176	40	4	14	18	22
(1,	 0,	 9)	3399	20	2	6	8	20
(1,	 0,	 9)	3421	20	2	8	10	20
(1,	 0,	 10)	0442	40	4	13	17	22
(1,	 0,	 11)	1636	40	4	13	17	22
(1,	 0,	 12)	1259	40	4	11	15	22
(1,	 0,	 13)	4620	40	4	11	15	22
(1,	 0,	 14)	4879	40	4	10	14	22
(1,	 0,	 15)	1989	40	4	6	10	22
(1,	 0,	 16)	0097	40	4	5	9	22
(1,	 0,	 17)	1546	40	4	2	6	22
Stack at (1, 1), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 1,	 0)	0100	20	2	17	19	20
(1,	 1,	 0)	0101	20	2	18	20	20
(1,	 1,	 1)	3491	20	2	18	20	20
(1,	 1,	 1)	3498	20	2	13	15	20
(1,	 1,	 2)	2687	40	4	22	26	22
(1,	 1,	 3)	5321	20	2	7	9	20
(1,	 1,	 3)	5322	20	2	14	16	20
(1,	 1,	 4)	1186	40	4	20	24	22
(1,	 1,	 5)	2083	20	2	6	8	20
(1,	 1,	 5)	2094	20	2	8	10	20
(1,	 1,	 6)	3203	40	4	12	16	22
(1,	 1,	 7)	4192	40	4	12	16	22
(1,	 1,	 8)	1591	20	2	2	4	20
(1,	 1,	 8)	1604	20	2	8	10	20
(1,	 1,	 9)	5024	20	2	1	3	20
(1,	 1,	 9)	5027	20	2	8	10	20
(1,	 1,	 10)	0957	40	4	7	11	22
(1,	 1,	 11)	1928	40	4	6	10	22
(1,	 1,	 12)	2557	40	4	4	8	22
(1,	 1,	 13)	4858	40	4	4	8	22
(1,	 1,	 14)	4514	40	4	3	7	22
(1,	 1,	 15)	4670	40	4	2	6	22
(1,	 1,	 16)	2462	40	4	1	5	22
(1,	 1,	 17)	4793	40	4	1	5	22
Stack at (1, 2), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 2,	 0)	3445	20	2	13	15	20
(1,	 2,	 0)	3446	20	2	16	18	20
(1,	 2,	 1)	1396	20	2	6	8	20
(1,	 2,	 1)	1402	20	2	17	19	20
(1,	 2,	 2)	5266	20	2	11	13	20
(1,	 2,	 2)	5267	20	2	11	13	20
(1,	 2,	 3)	5953	40	4	22	26	22
(1,	 2,	 4)	2239	40	4	21	25	22
(1,	 2,	 5)	4517	20	2	19	21	20
(1,	 2,	 5)	4518	20	2	2	4	20
(1,	 2,	 6)	0901	40	4	19	23	22
(1,	 2,	 7)	4090	40	4	19	23	22
(1,	 2,	 8)	1870	20	2	10	12	20
(1,	 2,	 8)	1871	20	2	5	7	20
(1,	 2,	 9)	3059	20	2	4	6	20
(1,	 2,	 9)	3060	20	2	10	12	20
(1,	 2,	 10)	2725	40	4	13	17	22
(1,	 2,	 11)	0549	40	4	12	16	22
(1,	 2,	 12)	5698	40	4	8	12	22
(1,	 2,	 13)	5003	40	4	7	11	22
(1,	 2,	 14)	0117	40	4	6	10	22
(1,	 2,	 15)	0453	40	4	2	6	22
(1,	 2,	 16)	0821	40	4	1	5	22
(1,	 2,	 17)	5896	20	2	0	2	20
(1,	 2,	 17)	5897	20	2	0	2	20
Stack at (1, 3), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 3,	 0)	4878	20	2	19	21	20
(1,	 3,	 0)	4886	20	2	17	19	20
(1,	 3,	 1)	6123	20	2	8	10	20
(1,	 3,	 1)	6124	20	2	19	21	20
(1,	 3,	 2)	0599	20	2	10	12	20
(1,	 3,	 2)	0603	20	2	11	13	20
(1,	 3,	 3)	1549	40	4	21	25	22
(1,	 3,	 4)	2824	40	4	21	25	22
(1,	 3,	 5)	5853	40	4	21	25	22
(1,	 3,	 6)	3930	40	4	20	24	22
(1,	 3,	 7)	4377	40	4	20	24	22
(1,	 3,	 8)	1093	20	2	8	10	20
(1,	 3,	 8)	1099	20	2	11	13	20
(1,	 3,	 9)	2016	20	2	9	11	20
(1,	 3,	 9)	2017	20	2	10	12	20
(1,	 3,	 10)	3328	20	2	4	6	20
(1,	 3,	 10)	3338	20	2	14	16	20
(1,	 3,	 11)	0121	40	4	17	21	22
(1,	 3,	 12)	6237	40	4	16	20	22
(1,	 3,	 13)	2481	40	4	14	18	22
(1,	 3,	 14)	6222	40	4	8	12	22
(1,	 3,	 15)	3744	40	4	7	11	22
(1,	 3,	 16)	5625	20	2	7	9	20
(1,	 3,	 16)	5651	20	2	0	2	20
(1,	 3,	 17)	6059	20	2	2	4	20
(1,	 3,	 17)	6060	20	2	0	2	20
Stack at (1, 4), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 4,	 0)	3347	20	2	15	17	20
(1,	 4,	 0)	3348	20	2	14	16	20
(1,	 4,	 1)	0130	20	2	9	11	20
(1,	 4,	 1)	0131	20	2	19	21	20
(1,	 4,	 2)	1712	20	2	9	11	20
(1,	 4,	 2)	1713	20	2	16	18	20
(1,	 4,	 3)	4557	20	2	5	7	20
(1,	 4,	 3)	4584	20	2	18	20	20
(1,	 4,	 4)	2281	40	4	21	25	22
(1,	 4,	 5)	1343	40	4	18	22	22
(1,	 4,	 6)	4158	40	4	16	20	22
(1,	 4,	 7)	5807	40	4	16	20	22
(1,	 4,	 8)	5356	40	4	13	17	22
(1,	 4,	 9)	0823	40	4	9	13	22
(1,	 4,	 10)	3942	40	4	8	12	22
(1,	 4,	 11)	3078	40	4	7	11	22
(1,	 4,	 12)	5118	40	4	7	11	22
(1,	 4,	 13)	2893	40	4	6	10	22
(1,	 4,	 14)	5633	40	4	6	10	22
(1,	 4,	 15)	1150	40	4	4	8	22
(1,	 4,	 16)	2759	40	4	2	6	22
(1,	 4,	 17)	1083	40	4	0	4	22
Stack at (1, 5), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 5,	 0)	0997	40	4	22	26	22
(1,	 5,	 1)	1522	20	2	14	16	20
(1,	 5,	 1)	1534	20	2	8	10	20
(1,	 5,	 2)	0145	20	2	19	21	20
(1,	 5,	 2)	0146	20	2	2	4	20
(1,	 5,	 3)	3631	40	4	21	25	22
(1,	 5,	 4)	2163	20	2	1	3	20
(1,	 5,	 4)	2164	20	2	16	18	20
(1,	 5,	 5)	4113	40	4	16	20	22
(1,	 5,	 6)	5508	40	4	15	19	22
(1,	 5,	 7)	2568	20	2	3	5	20
(1,	 5,	 7)	2569	20	2	11	13	20
(1,	 5,	 8)	2916	20	2	9	11	20
(1,	 5,	 8)	2917	20	2	5	7	20
(1,	 5,	 9)	0654	40	4	13	17	22
(1,	 5,	 10)	5212	20	2	1	3	20
(1,	 5,	 10)	5213	20	2	11	13	20
(1,	 5,	 11)	4500	40	4	9	13	22
(1,	 5,	 12)	4767	40	4	8	12	22
(1,	 5,	 13)	3273	40	4	7	11	22
(1,	 5,	 14)	5811	40	4	7	11	22
(1,	 5,	 15)	4936	20	2	5	7	20
(1,	 5,	 15)	4985	20	2	1	3	20
(1,	 5,	 16)	2028	40	4	3	7	22
(1,	 5,	 17)	3476	40	4	3	7	22
Stack at (1, 6), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 6,	 0)	0968	20	2	19	21	20
(1,	 6,	 0)	0969	20	2	17	19	20
(1,	 6,	 1)	1934	20	2	6	8	20
(1,	 6,	 1)	1935	20	2	17	19	20
(1,	 6,	 2)	0156	40	4	22	26	22
(1,	 6,	 3)	3705	40	4	21	25	22
(1,	 6,	 4)	4307	40	4	20	24	22
(1,	 6,	 5)	5411	20	2	15	17	20
(1,	 6,	 5)	5412	20	2	2	4	20
(1,	 6,	 6)	3383	20	2	11	13	20
(1,	 6,	 6)	3384	20	2	5	7	20
(1,	 6,	 7)	4792	20	2	5	7	20
(1,	 6,	 7)	4797	20	2	10	12	20
(1,	 6,	 8)	2762	40	4	13	17	22
(1,	 6,	 9)	5165	40	4	9	13	22
(1,	 6,	 10)	0712	20	2	2	4	20
(1,	 6,	 10)	0713	20	2	5	7	20
(1,	 6,	 11)	2599	40	4	6	10	22
(1,	 6,	 12)	2428	40	4	4	8	22
(1,	 6,	 13)	1737	40	4	3	7	22
(1,	 6,	 14)	3095	40	4	2	6	22
(1,	 6,	 15)	3220	40	4	1	5	22
(1,	 6,	 16)	4200	40	4	1	5	22
(1,	 6,	 17)	0908	40	4	0	4	22
Stack at (1, 7), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 7,	 0)	3657	20	2	20	22	20
(1,	 7,	 0)	3658	20	2	15	17	20
(1,	 7,	 1)	0170	20	2	17	19	20
(1,	 7,	 1)	0171	20	2	9	11	20
(1,	 7,	 2)	5697	20	2	15	17	20
(1,	 7,	 2)	5704	20	2	11	13	20
(1,	 7,	 3)	5008	20	2	6	8	20
(1,	 7,	 3)	5009	20	2	18	20	20
(1,	 7,	 4)	4422	20	2	11	13	20
(1,	 7,	 4)	4442	20	2	12	14	20
(1,	 7,	 5)	2772	20	2	10	12	20
(1,	 7,	 5)	2778	20	2	12	14	20
(1,	 7,	 6)	0758	40	4	21	25	22
(1,	 7,	 7)	6026	40	4	21	25	22
(1,	 7,	 8)	1278	40	4	18	22	22
(1,	 7,	 9)	2380	20	2	13	15	20
(1,	 7,	 9)	2389	20	2	4	6	20
(1,	 7,	 10)	3359	40	4	13	17	22
(1,	 7,	 11)	6172	40	4	13	17	22
(1,	 7,	 12)	1843	40	4	10	14	22
(1,	 7,	 13)	2120	40	4	10	14	22
(1,	 7,	 14)	5538	40	4	5	9	22
(1,	 7,	 15)	1687	40	4	4	8	22
(1,	 7,	 16)	6226	40	4	2	6	22
(1,	 7,	 17)	4363	40	4	0	4	22
Stack at (1, 8), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 8,	 0)	2507	20	2	18	20	20
(1,	 8,	 0)	2508	20	2	13	15	20
(1,	 8,	 1)	4703	20	2	5	7	20
(1,	 8,	 1)	4704	20	2	20	22	20
(1,	 8,	 2)	1993	20	2	7	9	20
(1,	 8,	 2)	1994	20	2	16	18	20
(1,	 8,	 3)	3673	40	4	22	26	22
(1,	 8,	 4)	5638	40	4	22	26	22
(1,	 8,	 5)	3183	40	4	19	23	22
(1,	 8,	 6)	1110	40	4	16	20	22
(1,	 8,	 7)	0489	40	4	14	18	22
(1,	 8,	 8)	0185	20	2	8	10	20
(1,	 8,	 8)	0186	20	2	2	4	20
(1,	 8,	 9)	0831	40	4	10	14	22
(1,	 8,	 10)	1457	20	2	7	9	20
(1,	 8,	 10)	1468	20	2	3	5	20
(1,	 8,	 11)	1733	40	4	8	12	22
(1,	 8,	 12)	4451	40	4	8	12	22
(1,	 8,	 13)	4301	40	4	6	10	22
(1,	 8,	 14)	5490	40	4	5	9	22
(1,	 8,	 15)	4140	40	4	3	7	22
(1,	 8,	 16)	5373	40	4	2	6	22
(1,	 8,	 17)	5333	40	4	0	4	22
Stack at (1, 9), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(1,	 9,	 0)	5232	20	2	16	18	20
(1,	 9,	 0)	5233	20	2	20	22	20
(1,	 9,	 1)	3087	20	2	12	14	20
(1,	 9,	 1)	3098	20	2	17	19	20
(1,	 9,	 2)	2184	20	2	13	15	20
(1,	 9,	 2)	2185	20	2	13	15	20
(1,	 9,	 3)	3996	40	4	20	24	22
(1,	 9,	 4)	1120	20	2	5	7	20
(1,	 9,	 4)	1121	20	2	14	16	20
(1,	 9,	 5)	0733	40	4	17	21	22
(1,	 9,	 6)	1834	40	4	14	18	22
(1,	 9,	 7)	1545	20	2	7	9	20
(1,	 9,	 7)	1567	20	2	2	4	20
(1,	 9,	 8)	2738	40	4	9	13	22
(1,	 9,	 9)	4463	40	4	9	13	22
(1,	 9,	 10)	0510	40	4	8	12	22
(1,	 9,	 11)	4726	40	4	8	12	22
(1,	 9,	 12)	4974	40	4	8	12	22
(1,	 9,	 13)	0197	40	4	4	8	22
(1,	 9,	 14)	3785	40	4	4	8	22
(1,	 9,	 15)	0437	40	4	3	7	22
(1,	 9,	 16)	3023	20	2	0	2	20
(1,	 9,	 16)	3024	20	2	1	3	20
(1,	 9,	 17)	3886	20	2	0	2	20
